Student_ID,Python,Statistics,Machine_Learning,Deep_Learning,Database,Data_Visualization
DS0733,69.0,57,53,86,62,34
DS0734,68.0,75,75,63,70,42
DS0735,70.0,51,45,74,91,71
DS0736,63.0,67,68,69,88,35
DS0737,79.0,76,68,100,82,59
DS0738,61.0,79,63,64,62,87
DS0739,61.0,64,89,72,89,77
DS0740,64.0,53,58,66,80,89
DS0741,68.0,60,66,87,55,57
DS0742,86.0,52,90,65,59,67
DS0743,69.0,49,83,63,94,49
DS0744,44.0,62,60,67,36,69
DS0745,52.0,95,71,68,94,70
DS0746,84.0,50,46,62,99,98
DS0747,78.0,59,78,62,77,76
DS0748,90.0,72,85,75,62,72
DS0749,79.0,60,53,85,53,55
DS0750,43.0,60,58,61,56,63
DS0751,81.0,84,70,58,74,67
DS0752,86.0,77,100,75,80,74
DS0753,50.0,95,62,85,74,75
DS0754,76.0,71,53,67,79,63
DS0755,80.0,81,73,86,89,82
DS0756,52.0,86,72,90,76,54
DS0757,96.0,38,72,91,57,68
DS0758,85.0,81,54,51,56,78
DS0759,61.0,85,59,82,35,62
DS0760,48.0,63,89,78,68,72
DS0761,65.0,71,43,77,89,79
DS0762,73.0,65,69,83,85,91
DS0763,51.0,56,93,74,61,68
DS0764,77.0,48,67,100,70,59
DS0765,74.0,91,75,61,71,45
DS0766,78.0,75,74,51,84,33
DS0767,51.0,81,66,41,72,77
DS0768,48.0,63,52,61,89,61
DS0769,60.0,56,55,85,87,62
DS0770,79.0,72,78,77,56,76
DS0771,53.0,53,39,25,68,100
DS0772,74.0,80,65,71,54,50
DS0773,80.0,86,56,71,78,72
DS0774,80.0,80,92,69,72,84
DS0775,85.0,32,64,98,65,71
DS0776,54.0,87,70,62,62,62
DS0777,68.0,100,100,54,56,54
DS0778,86.0,57,90,61,63,54
DS0779,63.0,66,92,58,59,53
DS0780,50.0,80,72,80,53,75
DS0781,80.0,42,62,50,67,83
DS0782,81.0,56,66,66,62,44
DS0783,61.0,66,70,58,67,83
DS0784,64.0,76,96,79,87,52
DS0785,97.0,79,75,64,71,72
DS0786,77.0,100,41,100,67,75
DS0787,88.0,87,60,94,71,71
DS0788,66.0,55,60,99,60,35
DS0789,79.0,68,67,56,55,98
DS0790,78.0,78,95,100,66,80
DS0791,57.0,75,76,85,57,61
DS0792,57.0,99,83,63,91,62
DS0793,70.0,51,68,70,54,75
DS0794,49.0,62,72,87,89,97
DS0795,57.0,76,62,56,100,86
DS0796,75.0,86,77,81,64,52
DS0797,69.0,46,62,73,73,87
DS0798,79.0,68,82,89,83,70
DS0799,57.0,77,65,59,71,76
DS0800,65.0,95,49,66,100,76
DS0801,49.0,63,56,86,62,76
DS0802,100.0,56,87,47,66,50
DS0803,59.0,71,79,91,67,65
DS0804,76.0,25,61,53,88,63
DS0805,53.0,71,75,49,81,81
DS0806,97.0,56,59,65,88,51
DS0807,72.0,36,65,65,65,62
DS0808,38.0,80,52,71,58,64
DS0809,88.0,62,74,73,87,68
DS0810,62.0,68,92,95,82,75
DS0811,78.0,91,46,99,46,52
DS0812,90.0,76,30,51,77,64
DS0813,68.0,32,46,65,100,43
DS0814,60.0,81,46,83,71,67
DS0815,71.0,76,75,56,65,78
DS0816,62.0,52,40,61,78,54
DS0817,56.0,50,86,65,37,61
DS0818,56.0,88,58,85,64,72
DS0819,73.0,55,86,68,65,77
DS0820,57.0,53,85,41,57,72
DS0821,80.0,62,80,42,75,64
DS0822,36.0,55,91,51,83,81
DS0823,66.0,61,91,79,56,52
DS0824,56.0,63,95,66,67,78
DS0825,58.0,77,49,53,75,85
DS0826,68.0,94,70,71,77,69
DS0827,90.0,62,73,69,71,57
DS0828,86.0,89,76,63,72,76
DS0829,92.0,97,85,90,88,78
DS0830,77.0,60,50,87,63,70
DS0831,72.0,73,81,69,77,55
DS0832,77.0,45,96,82,80,44
DS0833,57.0,85,53,52,51,85
DS0834,54.0,79,80,51,66,98
DS0835,69.0,50,89,86,54,65
DS0836,83.0,68,42,81,72,76
DS0837,65.0,51,78,64,61,59
DS0838,100.0,50,64,71,65,86
DS0839,72.0,57,84,73,69,51
DS0840,80.0,87,98,59,58,80
DS0841,46.0,58,60,78,64,69
DS0842,74.0,52,64,60,55,71
DS0843,69.0,90,100,81,86,96
DS0844,46.0,73,53,70,72,73
DS0845,58.0,62,55,60,49,68
DS0846,53.0,78,68,71,89,90
DS0847,57.0,61,44,65,63,50
DS0848,66.0,74,70,73,47,80
DS0849,93.0,53,76,63,67,49
DS0850,37.0,80,68,65,68,46
DS0851,64.0,53,48,74,59,88
DS0852,73.0,45,76,72,83,79
DS0853,100.0,83,93,47,49,65
DS0854,57.0,71,100,65,63,87
DS0855,72.0,100,75,69,79,65
DS0856,71.0,64,69,58,70,71
DS0857,55.0,80,60,61,62,55
DS0858,69.0,71,70,93,70,60
DS0859,63.0,100,72,61,49,90
DS0860,75.0,76,86,71,58,68
DS0861,66.0,75,51,53,65,68
DS0862,49.0,65,71,51,49,73
DS0863,30.0,53,68,75,43,69
DS0864,100.0,52,62,84,81,77
DS0865,79.0,75,75,54,69,67
DS0866,25.0,71,84,67,63,66
DS0867,61.0,100,60,38,61,77
DS0868,64.0,51,63,67,81,64
DS0869,58.0,71,84,58,70,69
DS0870,89.0,52,77,63,74,58
DS0871,66.0,71,96,72,71,72
DS0872,67.0,40,79,72,55,82
DS0873,68.0,63,42,89,66,59
DS0874,70.0,74,58,69,83,45
DS0875,41.0,48,79,66,93,79
DS0876,100.0,67,78,64,71,47
DS0877,58.0,56,43,61,55,72
DS0878,72.0,61,68,39,68,64
DS0879,82.0,72,71,78,61,90
DS0880,80.0,57,82,75,57,69
DS0881,57.0,75,66,56,85,71
DS0882,90.0,98,67,75,71,96
DS0883,88.0,70,72,44,59,84
DS0884,52.0,73,64,72,88,76
DS0885,65.0,91,70,80,78,58
DS0886,81.0,50,74,67,64,89
DS0887,63.0,49,52,66,51,75
DS0888,34.0,80,72,78,51,65
DS0889,84.0,81,83,67,67,60
DS0890,42.0,81,58,66,43,57
DS0891,72.0,69,70,73,60,67
DS0892,69.0,73,38,77,71,60
DS0893,83.0,52,79,60,74,62
DS0894,59.0,72,73,51,57,58
DS0895,65.0,58,74,100,78,69
DS0896,74.0,67,56,68,83,62
DS0897,54.0,69,100,60,77,74
DS0898,86.0,79,69,61,63,48
DS0899,67.0,78,67,81,46,94
DS0900,91.0,75,96,71,86,76
DS0901,95.0,66,58,53,65,62
DS0902,76.0,60,64,83,86,71
DS0903,74.0,52,66,76,94,66
DS0904,61.0,100,82,90,65,83
DS0905,96.0,48,78,82,65,73
DS0906,83.0,69,94,60,73,65
DS0907,83.0,59,79,98,57,100
DS0908,81.0,67,60,65,75,71
DS0909,80.0,55,56,66,92,72
DS0910,66.0,58,100,75,77,63
DS0911,64.0,76,70,89,46,81
DS0912,72.0,59,65,42,64,85
DS0913,100.0,60,51,59,67,100
DS0914,96.0,80,71,98,99,69
DS0915,99.0,59,96,65,47,89
DS0916,61.0,81,67,65,56,61
DS0917,62.0,75,77,100,74,41
DS0918,80.0,87,83,71,100,65
DS0919,77.0,69,77,75,64,48
DS0920,61.0,90,83,55,65,81
DS0921,47.0,68,82,49,74,82
DS0922,60.0,69,62,70,61,67
DS0923,75.0,87,66,86,72,78
DS0924,38.0,47,100,60,99,76
DS0925,57.0,89,94,73,65,93
DS0926,72.0,66,61,70,62,69
DS0927,94.0,72,79,81,59,56
DS0928,67.0,58,60,25,55,86
DS0929,70.0,52,40,68,79,79
DS0930,87.0,75,48,77,63,64
DS0931,60.0,63,75,47,73,59
DS0932,47.0,88,76,65,56,54
DS0933,65.0,73,64,63,75,93
DS0934,82.0,72,83,62,83,85
DS0935,51.0,64,71,59,71,71
DS0936,64.0,50,83,64,80,84
DS0937,58.0,60,58,58,92,66
DS0938,73.0,73,67,76,57,80
DS0939,63.0,74,61,89,61,91
DS0940,47.0,45,58,82,46,79
DS0941,61.0,69,73,38,67,70
DS0942,91.0,47,78,89,85,39
DS0943,72.0,65,54,70,71,79
DS0944,51.0,97,81,66,56,86
DS0945,82.0,80,87,63,71,89
DS0946,68.0,94,85,74,59,58
DS0947,59.0,90,70,62,72,80
DS0948,45.0,59,79,56,47,56
DS0949,80.0,63,83,73,94,86
DS0950,90.0,61,42,85,51,67
DS0951,93.0,49,65,50,59,70
DS0952,60.0,77,75,54,81,57
DS0953,49.0,78,74,72,74,61
DS0954,86.0,82,62,49,53,77
DS0955,65.0,86,98,68,61,41
DS0956,82.0,67,83,82,79,70
DS0957,65.0,99,73,86,68,42
DS0958,96.0,39,52,43,79,60
DS0959,58.0,38,84,59,53,44
DS0960,72.0,73,55,71,82,71
DS0961,82.0,86,60,100,73,37
DS0962,68.0,78,65,65,71,54
DS0963,66.0,50,60,76,69,82
DS0964,100.0,63,70,50,89,83
DS0965,61.0,83,76,44,74,73
DS0966,73.0,76,74,70,100,59
DS0967,92.0,86,94,74,69,81
DS0968,89.0,57,65,59,58,61
DS0969,75.0,68,75,70,78,73
DS0970,73.0,72,68,95,59,65
DS0971,77.0,38,83,93,68,89
DS0972,75.0,85,69,100,62,85
DS0973,74.0,69,75,64,61,66
DS0974,40.0,66,61,73,76,69
DS0975,41.0,48,63,68,62,75
DS0976,61.0,87,58,58,71,71
DS0977,59.0,87,78,85,69,67
DS0978,53.0,82,50,62,63,88
DS0979,70.0,74,59,87,70,56
DS0980,67.0,63,65,58,67,87
DS0981,54.0,42,68,51,70,87
DS0982,91.0,78,55,75,100,93
DS0983,67.0,71,74,88,85,59
DS0984,70.0,69,74,56,49,49
DS0985,50.0,59,75,99,59,63
DS0986,70.0,55,98,72,86,70
DS0987,86.0,96,61,80,73,68
DS0988,91.0,89,88,25,77,73
DS0989,77.0,87,85,68,85,73
DS0990,74.0,58,66,59,65,65
DS0991,78.0,94,85,100,100,44
DS0992,67.0,83,63,66,79,67
DS0993,61.0,92,34,86,57,85
DS0994,92.0,46,66,62,93,73
DS0995,53.0,77,76,66,76,72
DS0996,71.0,53,82,45,74,64
DS0997,79.0,91,91,79,65,49
DS0998,79.0,60,89,51,69,68
DS0999,69.0,63,99,72,78,85
DS1000,57.0,91,75,91,69,78
